"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa"
"323",2,FALSE,FALSE,12,"B2",49,0.216216216216216,-0.040737148399612
"324",3,FALSE,FALSE,12,"B2",49,0.0769230769230769,-0.130434782608696
"325",1,TRUE,TRUE,13,"B2",11,0.282608695652174,-0.000659195781147007
"326",2,TRUE,TRUE,13,"B2",21,0.243243243243243,0.0244821092278719
"327",3,TRUE,TRUE,13,"B2",18,0.346153846153846,0.0924024640657084
"328",1,FALSE,TRUE,13,"B2",11,0.239130434782609,-0.0407239819004525
"329",2,FALSE,TRUE,13,"B2",21,0.27027027027027,0.0485714285714286
"330",3,FALSE,TRUE,13,"B2",18,0.269230769230769,0.0332681017612524
"331",1,TRUE,FALSE,13,"B2",49,0.239130434782609,-0.0557377049180328
"332",2,TRUE,FALSE,13,"B2",49,0.351351351351351,0.122529644268775
"333",3,TRUE,FALSE,13,"B2",49,0.269230769230769,-0.0143737166324436
"334",1,FALSE,FALSE,13,"B2",49,0.260869565217391,0.0126262626262626
"335",2,FALSE,FALSE,13,"B2",49,0.297297297297297,0.0203665987780041
"336",3,FALSE,FALSE,13,"B2",49,0.115384615384615,-0.141221374045802
"337",1,TRUE,TRUE,14,"B2",11,0.347826086956522,0.128237523689198
"338",2,TRUE,TRUE,14,"B2",21,0.27027027027027,0.0366441658630665
"339",3,TRUE,TRUE,14,"B2",18,0.153846153846154,-0.0651769087523277
"340",1,FALSE,TRUE,14,"B2",11,0.304347826086957,0.0683544303797469
"341",2,FALSE,TRUE,14,"B2",21,0.27027027027027,-0.0162767039674466
"342",3,FALSE,TRUE,14,"B2",18,0.269230769230769,0.0178926441351888
"343",1,TRUE,FALSE,14,"B2",49,0.391304347826087,0.160365058670143
"344",2,TRUE,FALSE,14,"B2",49,0.297297297297297,0.0484668644906033
