"","resampleSeed","dens.fct","oversample","useKeywords","useDatatype","batchSize","neurons","learningRate","err.fct","act.fct","epochs","precision","patience","maxVars","ID"
"164",817867447,"epdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,164
"165",1229953753,"epdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,165
"166",588824402,"epdf_scaled",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,166
"167",817867447,"epdf_scaled",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,167
"168",1229953753,"epdf_scaled",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,168
"169",588824402,"ecdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,169
"170",817867447,"ecdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,170
"171",1229953753,"ecdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,171
"172",588824402,"1-ecdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,172
"173",817867447,"1-ecdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,173
"174",1229953753,"1-ecdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,174
"175",588824402,"epdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,175
"176",817867447,"epdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,176
"177",1229953753,"epdf",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,177
"178",588824402,"epdf_scaled",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,178
"179",817867447,"epdf_scaled",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,179
"180",1229953753,"epdf_scaled",TRUE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,180
"181",588824402,"ecdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,181
"182",817867447,"ecdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,182
"183",1229953753,"ecdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,183
"184",588824402,"1-ecdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,184
"185",817867447,"1-ecdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,185
"186",1229953753,"1-ecdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,186
"187",588824402,"epdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,187
"188",817867447,"epdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,188
"189",1229953753,"epdf",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,189
"190",588824402,"epdf_scaled",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,190
"191",817867447,"epdf_scaled",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,191
"192",1229953753,"epdf_scaled",FALSE,FALSE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,192
"193",588824402,"ecdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,193
"194",817867447,"ecdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,194
"195",1229953753,"ecdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,195
"196",588824402,"1-ecdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,196
"197",817867447,"1-ecdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,197
"198",1229953753,"1-ecdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,198
"199",588824402,"epdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,199
"200",817867447,"epdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,200
"201",1229953753,"epdf",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,201
"202",588824402,"epdf_scaled",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,202
"203",817867447,"epdf_scaled",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,203
"204",1229953753,"epdf_scaled",TRUE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,204
"205",588824402,"ecdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,205
"206",817867447,"ecdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,206
"207",1229953753,"ecdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,207
"208",588824402,"1-ecdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,208
"209",817867447,"1-ecdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,209
"210",1229953753,"1-ecdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,210
"211",588824402,"epdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,211
"212",817867447,"epdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,212
"213",1229953753,"epdf",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,213
"214",588824402,"epdf_scaled",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,214
"215",817867447,"epdf_scaled",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,215
"216",1229953753,"epdf_scaled",FALSE,TRUE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,216
"217",588824402,"ecdf",TRUE,FALSE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,217
"218",817867447,"ecdf",TRUE,FALSE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,218
"219",1229953753,"ecdf",TRUE,FALSE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,219
"220",588824402,"1-ecdf",TRUE,FALSE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,220
"221",817867447,"1-ecdf",TRUE,FALSE,"density",50,5,0.05,"RSS","Lrelu",2500,0.005,5,60,221
